Subcomponent ID	Famliy Name	Gene NAME	Component ID	ORF type(Based on Predicted protein)	Predicted protein length	"E-value(Overall,hmmsearch)"	"E-value(Best domain,hmmsearch)"	"Query Coverage(BLASTP, Trinotate, %)"	"Target ID(BLASTX,Trinotate)"	"Identity(BLASTX,Trinotate)"	"Query coordinates(BALSTX, Trinotate)"	"Target coordinates(BALSTP, Trinotate)"	"E-value(BLASTX, Trinotate)"	"Traget Length(BLASTX, Trinotate)"	"Full Name(BLASTX, Trinotate)"	"Target ID(BLASTP,Trinotate)"	"Identity(BLASTP,Trinotate)"	"Query coordinates(BALSTP, Trinotate)"	"Target coordinates(BALSTP, Trinotate)_2"	"E-value(BLASTP, Trinotate)"	"Traget Length(BLASTP, Trinotate)"	"Target Coverage(BLASTP, Trinotate,%)"	"Full Name(BLASTP, Trinotate)"	"Best Domain ID(PFAM, Trinotate)"	"Best Domain Name(PFAM,Trinoate)"	"E-value(Pfam,Trinotate)"
TRINITY_DN205389_c7_g4_i3	destabilase	Lysozyme-9	TRINITY_DN205389_c7_g4	complete	148	1.90E-41	2.30E-41	80.405	LYS3_CRAVI	0.33043	1885-1559	65-165	0.0000012	187	"Lysozyme 3 {ECO:0000250|UniProtKB:P83673, ECO:0000312|EMBL:BAG41979.1}"	LYS_MERLU	0.34146	22-140	4-114	1.11E-08	122	90.984	Lysozyme {ECO:0000303|Ref.1}	PF05497.9	Destabilase	2.00E-34
TRINITY_DN210346_c2_g2_i4	destabilase	Lysozyme-1	TRINITY_DN210346_c2_g2	complete	156	6.20E-30	8.20E-30	65.385	LYS_OSTED	0.35849	1148-843	21-124	6.48E-12	137	Lysozyme	LYS_OSTED	0.35849	26-127	21-124	1.35E-13	137	75.912	Lysozyme	PF05497.9	Destabilase	1.40E-28
TRINITY_DN207842_c0_g1_i5	Dif_Toll	Embryonic polarity protein dorsal	TRINITY_DN207842_c0_g1	complete	795	1.70E-187	2.40E-187	39.623	DORS_DROME	0.71429	3344-2400	41-354	5.94E-156	999	Embryonic polarity protein dorsal	DORS_DROME	0.71429	40-354	41-354	1.76E-161	999	31.431	Embryonic polarity protein dorsal	PF00554.19	Rel homology DNA-binding domain	2.50E-70
TRINITY_DN210555_c5_g1_i5	Domeless_JAK-STAT	Cytokine receptor	TRINITY_DN210555_c5_g1	complete	1027	2.90E-270	3.50E-270	74.684	DOME_DROME	0.26256	3754-1454	23-772	5.64E-52	1282	Cytokine receptor	DOME_DROME	0.26256	50-816	23-772	8.44E-53	1282	58.502	Cytokine receptor	PF00041.18	Fibronectin type III domain	1.20E-11
TRINITY_DN210445_c4_g2_i4	DROs	Drosomycin	TRINITY_DN210445_c4_g2	complete	67	1.20E-14	1.20E-14	94.03	DMYC_DROME	0.86667	1835-1701	26-70	7.37E-20	70	Drosomycin	DMYC_DROME	0.66667	Apr-66	Aug-70	1.30E-28	70	90	Drosomycin	PF00304.17	Gamma-thionin family	8.20E-13
TRINITY_DN207385_c5_g3_i3	Fadd_IMD	Fas-associated death domain protein	TRINITY_DN207385_c5_g3	complete	229	1.20E-36	2.40E-36	96.943	FADD_DROME	0.23729	363-1019	5-235	1.20E-10	239	Fas-associated death domain protein	FADD_DROME	0.23431	3-224	5-238	3.74E-15	239	97.908	Fas-associated death domain protein	PF00531.19	Death domain	2.10E-12
TRINITY_DN166725_c0_g2_i1	FREPs	Angiopoietin-related protein 1	TRINITY_DN166725_c0_g2	5prime_partial	274	4.30E-72	5.60E-72	64.234	ANGL1_HUMAN	0.47159	922-395	316-489	4.46E-49	491	Angiopoietin-related protein 1	ANGL1_HUMAN	0.47159	6-181	316-489	3.70E-50	491	35.438	Angiopoietin-related protein 1	PF00147.15	"Fibrinogen beta and gamma chains, C-terminal globular domain"	1.10E-56
TRINITY_DN29572_c1_g1_i1	FREPs	Protein scabrous	TRINITY_DN29572_c1_g1	internal	312	6.80E-31	1.90E-30	88.782	SCA_DROME	0.42034	103-933	351-641	3.40E-69	799	Protein scabrous	SCA_DROME	0.42034	35-311	351-641	3.06E-69	799	36.421	Protein scabrous	PF00147.15	"Fibrinogen beta and gamma chains, C-terminal globular domain"	7.50E-31
TRINITY_DN203196_c2_g1_i1	FREPs	Techylectin-5A	TRINITY_DN203196_c2_g1	complete	726	1.80E-58	6.40E-58	31.129	TL5A_TACTR	0.38869	1316-2158	12-283	6.55E-48	292	Techylectin-5A	TL5A_TACTR	0.4386	467-692	62-283	2.36E-48	292	76.027	Techylectin-5A	PF00147.15	"Fibrinogen beta and gamma chains, C-terminal globular domain"	1.00E-57
TRINITY_DN206797_c12_g1_i1	FREPs	Techylectin-5B	TRINITY_DN206797_c12_g1	internal	101	2.90E-35	3.20E-35	93.069	TL5B_TACTR	0.5	297-16	174-263	4.46E-25	316	Techylectin-5B	TL5B_TACTR	0.5	Feb-95	174-263	4.01E-25	316	28.481	Techylectin-5B	PF00147.15	"Fibrinogen beta and gamma chains, C-terminal globular domain"	3.60E-27
TRINITY_DN203975_c0_g1_i1	GALEs	32 kDa beta-galactoside-binding lectin-1	TRINITY_DN203975_c0_g1	5prime_partial	396	8.40E-09	0.00082	73.232	LEG1_HAECO	0.26415	1130-339	41-280	1.08E-19	283	32 kDa beta-galactoside-binding lectin	LEG1_HAECO	0.27148	49-338	15-280	2.58E-27	283	93.993	32 kDa beta-galactoside-binding lectin	PF00337.19	Galactoside-binding lectin	8.70E-27
TRINITY_DN204225_c6_g1_i1	GALEs	32 kDa beta-galactoside-binding lectin-2	TRINITY_DN204225_c6_g1	5prime_partial	327	2.60E-29	3.90E-13	80.428	LEG1_HAECO	0.31321	968-180	28-278	1.28E-40	283	32 kDa beta-galactoside-binding lectin	LEG1_HAECO	0.31321	55-317	28-278	3.41E-41	283	88.693	32 kDa beta-galactoside-binding lectin	PF00337.19	Galactoside-binding lectin	6.90E-31
TRINITY_DN207109_c1_g1_i3	GALEs	32 kDa beta-galactoside-binding lectin-3	TRINITY_DN207109_c1_g1	complete	509	5.30E-20	8.80E-11	60.314	LEG1_HAECO	0.30351	611-1531	10-280	1.71E-34	283	32 kDa beta-galactoside-binding lectin	LEG1_HAECO	0.30351	194-500	10-280	6.61E-35	283	95.76	32 kDa beta-galactoside-binding lectin	PF00337.19	Galactoside-binding lectin	9.40E-31
TRINITY_DN203081_c1_g1_i1	GALEs	Galectin-4-1	TRINITY_DN203081_c1_g1	complete	301	1.50E-18	2.40E-18	65.449	LEG5_RAT	0.42254	147-563	9-144	6.34E-29	145	Galectin-5	LEG4_PIG	0.39394	5-201	11-193	3.13E-34	323	56.656	Galectin-4	PF00337.19	Galactoside-binding lectin	1.90E-42
TRINITY_DN205412_c1_g1_i1	GALEs	Galectin-4-2	TRINITY_DN205412_c1_g1	complete	322	3.50E-28	3.70E-17	94.72	LEG4_MOUSE	0.29721	1686-772	17-326	4.66E-33	326	Galectin-4	LEG4_MOUSE	0.29721	16-320	17-326	4.21E-35	326	95.092	Galectin-4	PF00337.19	Galactoside-binding lectin	3.50E-35
TRINITY_DN201583_c0_g1_i1	GNBP	"Beta-1,3-glucan-binding protein"	TRINITY_DN201583_c0_g1	5prime_partial	363	3.10E-70	3.80E-70	93.664	BGBP_PENMO	0.41935	68-1087	1-362	2.96E-80	366	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	BGBP_PENMO	0.41935	23-362	1-362	1.35E-80	366	98.907	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	PF00722.18	Glycosyl hydrolases family 16	3.50E-12
TRINITY_DN204546_c3_g3_i3	GNBP	"Beta-1,3-glucan-binding protein"	TRINITY_DN204546_c3_g3	complete	352	7.20E-72	8.50E-72	92.045	BGBP_PENMO	0.44058	246-1217	28-362	2.45E-77	366	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	BGBP_PENMO	0.44058	28-351	28-362	4.23E-80	366	91.53	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	PF00722.18	Glycosyl hydrolases family 16	2.50E-18
TRINITY_DN208082_c3_g2_i1	GNBP	"Beta-1,3-glucan-binding protein"	TRINITY_DN208082_c3_g2	5prime_partial	395	1.40E-94	1.70E-94	86.329	BGBP_PENMO	0.49563	160-1182	32-361	8.61E-111	366	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	BGBP_PENMO	0.49563	54-394	32-361	2.17E-111	366	90.164	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	PF00722.18	Glycosyl hydrolases family 16	4.50E-17
TRINITY_DN209559_c7_g2_i7	GNBP	"Beta-1,3-glucan-binding protein"	TRINITY_DN209559_c7_g2	complete	353	3.20E-80	3.90E-80	96.884	BGBP_PENMO	0.40909	74-1099	1-359	1.50E-71	366	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	BGBP_PENMO	0.40909	8-349	1-359	5.70E-78	366	98.087	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	PF00722.18	Glycosyl hydrolases family 16	2.10E-17
TRINITY_DN210026_c1_g1_i1	GNBP	"Beta-1,3-glucan-binding protein"	TRINITY_DN210026_c1_g1	5prime_partial	209	2.20E-38	2.40E-38	99.522	BGBP_PENMO	0.46789	746-123	154-360	2.12E-50	366	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	BGBP_PENMO	0.46789	1-208	154-360	5.07E-51	366	56.557	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	PF00722.18	Glycosyl hydrolases family 16	2.10E-09
TRINITY_DN210026_c2_g1_i3	GNBP	"Beta-1,3-glucan-binding protein"	TRINITY_DN210026_c2_g1	5prime_partial	370	4.40E-73	5.00E-73	91.351	BGBP_PENMO	0.43869	94-1107	8-360	2.51E-82	366	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	BGBP_PENMO	0.43869	32-369	8-360	1.29E-83	366	96.448	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	PF00722.18	Glycosyl hydrolases family 16	4.30E-19
TRINITY_DN213231_c6_g1_i4	GNBP	"Beta-1,3-glucan-binding protein"	TRINITY_DN213231_c6_g1	5prime_partial	384	4.40E-98	5.10E-98	88.542	BGBP_PENMO	0.50725	132-1160	32-364	1.33E-106	366	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	BGBP_PENMO	0.51754	44-383	32-361	1.90E-115	366	90.164	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	PF00722.18	Glycosyl hydrolases family 16	2.30E-19
TRINITY_DN213231_c4_g1_i1	GNBP	"Beta-1,3-glucan-binding protein (GNBP1)"	TRINITY_DN213231_c4_g1	internal	183	1.60E-44	1.80E-44	98.907	BGBP_PENMO	0.44751	544-2	116-287	2.64E-45	366	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	BGBP_PENMO	0.44751	2-182	116-287	2.38E-45	366	46.995	"Beta-1,3-glucan-binding protein {ECO:0000312|EMBL:AAM21213.1}"	PF00722.18	Glycosyl hydrolases family 16	5.00E-20
TRINITY_DN209017_c1_g1_i4	GNBP	"Beta-1,3-glucan-binding protein 1"	TRINITY_DN209017_c1_g1	complete	502	1.40E-112	1.70E-112	98.406	BGBP_BOMMO	0.41905	89-1570	9-495	9.38E-121	495	"Beta-1,3-glucan-binding protein"	BGBP_BOMMO	0.41905	8-501	9-495	1.30E-123	495	98.384	"Beta-1,3-glucan-binding protein"	PF15886.2	Carbohydrate binding domain (family 32)	2.70E-35
TRINITY_DN206442_c7_g2_i2	GPXs	Phospholipid hydroperoxide glutathione peroxidase-1	TRINITY_DN206442_c7_g2	complete	196	3.40E-82	3.80E-82	96.429	GPX4_CALJA	0.50785	330-896	8-197	6.95E-60	197	"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial"	GPX4_CALJA	0.50785	7-195	8-197	7.07E-63	197	96.447	"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial"	PF00255.16	Glutathione peroxidase	1.60E-42
TRINITY_DN206811_c7_g2_i2	GPXs	Phospholipid hydroperoxide glutathione peroxidase-2	TRINITY_DN206811_c7_g2	complete	170	1.50E-74	1.80E-74	99.412	GPX4_CALJA	0.53801	1140-634	28-197	1.52E-56	197	"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial"	GPX4_CALJA	0.53801	1-169	28-197	2.48E-60	197	86.294	"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial"	PF00255.16	Glutathione peroxidase	6.50E-41
TRINITY_DN211448_c5_g3_i1	Hopscoth_JAK-STAT	Tyrosine-protein kinase hopscotch	TRINITY_DN211448_c5_g3	complete	1117	0	0	24.799	JAK_DROME	0.45583	1103-273	876-1151	2.40E-57	1177	Tyrosine-protein kinase hopscotch	JAK_DROME	0.45583	836-1112	876-1151	4.82E-60	1177	23.449	Tyrosine-protein kinase hopscotch	PF07714.14	Protein tyrosine kinase	6.70E-88
TRINITY_DN208562_c1_g1_i1	HPXs	Chorion peroxidase-1	TRINITY_DN208562_c1_g1	internal	296	3.90E-110	4.40E-110	99.324	PERC_DROME	0.36735	1-882	377-663	2.75E-56	809	Chorion peroxidase	PERC_DROME	0.38435	1-294	377-663	2.22E-60	809	35.476	Chorion peroxidase	PF03098.12	Animal haem peroxidase	7.10E-95
TRINITY_DN212550_c1_g1_i3	HPXs	Chorion peroxidase-2	TRINITY_DN212550_c1_g1	5prime_partial	986	2.00E-214	2.20E-214	76.978	PERO_DROME	0.40925	2342-615	97-678	3.95E-137	690	Peroxidase	PERC_DROME	0.36341	221-979	48-807	1.14E-147	809	93.943	Chorion peroxidase	PF03098.12	Animal haem peroxidase	1.20E-207
TRINITY_DN212846_c0_g2_i1	HPXs	Chorion peroxidase-3	TRINITY_DN212846_c0_g2	3prime_partial	984	3.20E-209	3.80E-209	58.232	PERC_DROME	0.3804	2335-617	224-808	4.87E-114	809	Chorion peroxidase	PERC_DROME	0.3804	206-778	224-808	8.78E-121	809	72.311	Chorion peroxidase	PF03098.12	Animal haem peroxidase	3.00E-190
TRINITY_DN79403_c0_g1_i1	HPXs	Chorion peroxidase-4	TRINITY_DN79403_c0_g1	internal	109	1.60E-28	1.80E-28	99.083	PERC_DROME	0.34259	2-325	520-626	7.61E-13	809	Chorion peroxidase	PERC_DROME	0.34259	1-108	520-626	6.85E-13	809	13.226	Chorion peroxidase	PF03098.12	Animal haem peroxidase	2.30E-22
TRINITY_DN211353_c4_g2_i9	HPXs	Dual oxidase-1	TRINITY_DN211353_c4_g2	complete	950	7.50E-89	1.10E-88	90.316	DUOX_DROME	0.38699	506-3079	59-867	2.47E-180	1537	Dual oxidase	DUOX_DROME	0.38699	90-947	59-867	0	1537	52.635	Dual oxidase	PF03098.12	Animal haem peroxidase	1.00E-143
TRINITY_DN240373_c0_g1_i1	HPXs	Dual oxidase-2	TRINITY_DN240373_c0_g1	internal	176	4.10E-18	4.40E-18	99.432	DUOX_DROME	0.78857	525-1	141-315	1.54E-99	1537	Dual oxidase	DUOX_DROME	0.78857	1-175	141-315	1.39E-99	1537	11.386	Dual oxidase	PF03098.12	Animal haem peroxidase	8.20E-35
TRINITY_DN27310_c0_g1_i1	HPXs	Dual oxidase-3	TRINITY_DN27310_c0_g1	internal	113	9.40E-23	1.00E-22	99.115	DUOX_DROME	0.69643	3-338	445-556	1.51E-48	1537	Dual oxidase	DUOX_DROME	0.69643	1-112	445-556	1.36E-48	1537	7.287	Dual oxidase	PF03098.12	Animal haem peroxidase	1.80E-34
TRINITY_DN165703_c0_g1_i1	HPXs	Myeloperoxidase	TRINITY_DN165703_c0_g1	internal	210	4.10E-54	4.70E-54	92.381	PERM_MOUSE	0.36232	19-600	141-336	8.27E-27	718	Myeloperoxidase	PERM_MOUSE	0.36232	7-200	141-336	7.44E-27	718	27.298	Myeloperoxidase	PF03098.12	Animal haem peroxidase	2.10E-55
TRINITY_DN211655_c0_g1_i2	HPXs	Peroxidase-1	TRINITY_DN211655_c0_g1	5prime_partial	718	2.30E-196	2.80E-196	89.694	PERO_DROME	0.54266	3048-1297	93-677	0	690	Peroxidase	PERO_DROME	0.51138	50-693	21-677	0	690	95.217	Peroxidase	PF03098.12	Animal haem peroxidase	4.30E-185
TRINITY_DN213505_c6_g1_i3	HPXs	Peroxidase-2	TRINITY_DN213505_c6_g1	complete	672	1.00E-147	1.10E-147	65.923	PERO_DROME	0.38147	5678-4308	103-563	1.94E-98	690	Peroxidase	PERO_DROME	0.38444	223-665	103-551	7.93E-105	690	65.072	Peroxidase	PF03098.12	Animal haem peroxidase	3.30E-147
TRINITY_DN177411_c0_g1_i1	HPXs	Peroxidase skpo-1	TRINITY_DN177411_c0_g1	5prime_partial	314	5.80E-80	7.10E-80	52.866	SKPO1_CAEEL	0.47305	6-503	495-655	7.00E-37	655	Peroxidase skpo-1 {ECO:0000303|PubMed:9851916}	SKPO1_CAEEL	0.47305	2-167	495-655	4.50E-40	655	24.58	Peroxidase skpo-1 {ECO:0000303|PubMed:9851916}	PF03098.12	Animal haem peroxidase	4.20E-59
TRINITY_DN150155_c0_g1_i1	HPXs	Peroxidasin-1	TRINITY_DN150155_c0_g1	internal	127	1.60E-45	1.70E-45	99.213	PXDN_XENTR	0.51128	378-1	889-1021	6.63E-36	1457	Peroxidasin	PXDN_XENTR	0.51128	1-126	889-1021	5.97E-36	1457	9.128	Peroxidasin	PF03098.12	Animal haem peroxidase	8.10E-54
TRINITY_DN200589_c0_g1_i1	HPXs	Peroxidasin-2	TRINITY_DN200589_c0_g1	5prime_partial	532	1.80E-177	2.40E-177	78.383	PXDN_XENTR	0.43823	90-1340	889-1303	4.61E-98	1457	Peroxidasin	PXDN_XENTR	0.43823	30-446	889-1303	1.28E-102	1457	28.483	Peroxidasin	PF03098.12	Animal haem peroxidase	4.10E-153
TRINITY_DN263380_c0_g1_i1	HPXs	Peroxidasin-3	TRINITY_DN263380_c0_g1	internal	151	2.00E-10	2.00E-10	26.49	PXDN_DROME	0.66667	343-450	776-811	5.15E-10	1527	Peroxidasin	PXDN_DROME	0.65	111-150	772-811	6.20E-11	1527	2.62	Peroxidasin	PF03098.12	Animal haem peroxidase	7.40E-13
TRINITY_DN212828_c11_g2_i4	HPXs	Peroxidasin homolog	TRINITY_DN212828_c11_g2	5prime_partial	1362	3.90E-184	5.10E-184	99.853	PXDN_MOUSE	0.48145	5554-1475	133-1466	0	1475	Peroxidasin homolog	PXDN_MOUSE	0.48145	1-1360	133-1466	0	1475	90.441	Peroxidasin homolog	PF03098.12	Animal haem peroxidase	2.50E-201
TRINITY_DN151240_c0_g1_i1	HPXs	Thyroid peroxidase	TRINITY_DN151240_c0_g1	internal	114	2.50E-44	2.70E-44	99.123	PERT_PIG	0.42982	2-340	551-663	2.24E-25	926	Thyroid peroxidase	PERT_PIG	0.42982	1-113	551-663	2.01E-25	926	12.203	Thyroid peroxidase	PF03098.12	Animal haem peroxidase	5.80E-40
TRINITY_DN210057_c3_g1_i2	IAPs	Death-associated inhibitor of apoptosis 1	TRINITY_DN210057_c3_g1	complete	409	2.40E-42	1.60E-24	84.352	IAP_GVCPM	0.34493	4073-3039	3-275	3.84E-67	275	Apoptosis inhibitor IAP	DIAP1_DROME	0.33981	64-408	40-438	2.39E-77	438	91.096	Death-associated inhibitor of apoptosis 1	PF00653.18	Inhibitor of Apoptosis domain	3.00E-19
TRINITY_DN205171_c1_g1_i1	IAPs	Death-associated inhibitor of apoptosis 2	TRINITY_DN205171_c1_g1	complete	499	1.70E-55	1.50E-23	88.176	DIAP2_DROME	0.34773	1529-210	6-361	2.65E-73	498	Death-associated inhibitor of apoptosis 2	DIAP2_DROME	0.35909	4-443	6-361	6.22E-77	498	71.486	Death-associated inhibitor of apoptosis 2	PF00653.18	Inhibitor of Apoptosis domain	5.40E-21
TRINITY_DN183978_c0_g1_i1	Imd_IMD	Receptor-interacting serine/threonine-protein kinase 1-1	TRINITY_DN183978_c0_g1	5prime_partial	655	1.40E-22	9.10E-20	15.115	RIPK1_MOUSE	0.35955	1639-1893	553-640	0.00000406	656	Receptor-interacting serine/threonine-protein kinase 1	RIPK1_MOUSE	0.32039	547-645	553-654	0.00000196	656	15.549	Receptor-interacting serine/threonine-protein kinase 1	PF00531.19	Death domain	8.20E-09
TRINITY_DN202436_c1_g1_i1	Imd_IMD	Receptor-interacting serine/threonine-protein kinase 1-2	TRINITY_DN202436_c1_g1	complete	252	2.10E-29	2.30E-29	51.587	RIPK1_MOUSE	0.27869	443-805	520-641	9.46E-09	656	Receptor-interacting serine/threonine-protein kinase 1	RIPK1_MOUSE	0.26718	112-241	520-650	4.98E-10	656	19.97	Receptor-interacting serine/threonine-protein kinase 1	PF00531.19	Death domain	2.90E-10
TRINITY_DN210495_c4_g1_i6	Ird5_IMD	Inhibitor of nuclear factor kappa-B kinase subunit alpha	TRINITY_DN210495_c4_g1	complete	662	6.60E-185	7.70E-185	97.13	IKKA_XENLA	0.35897	2402-474	13-649	8.54E-122	743	Inhibitor of nuclear factor kappa-B kinase subunit alpha	IKKA_XENLA	0.35801	10-652	13-649	3.57E-125	743	85.734	Inhibitor of nuclear factor kappa-B kinase subunit alpha	PF00069.22	Protein kinase domain	2.70E-49
TRINITY_DN211996_c0_g1_i5	JNK_ip_Toll	C-Jun-amino-terminal kinase-interacting protein 3	TRINITY_DN211996_c0_g1	complete	1273	8.50E-230	9.80E-230	99.686	JIP3_HUMAN	0.45494	5555-1749	1-1332	0	1336	C-Jun-amino-terminal kinase-interacting protein 3	JIP3_HUMAN	0.45513	1-1269	1-1332	0	1336	99.701	C-Jun-amino-terminal kinase-interacting protein 3	PF09744.6	JNK_SAPK-associated protein-1	3.50E-57
TRINITY_DN204438_c0_g1_i2	Key_IMD	Optineurin	TRINITY_DN204438_c0_g1	complete	358	3.10E-27	2.10E-26	82.682	OPTN_DANRE	0.28094	924-37	288-516	6.59E-14	517	Optineurin	OPTN_DANRE	0.28333	58-353	288-516	2.15E-18	517	44.294	Optineurin	PF16516.2	"Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator"	3.70E-24
TRINITY_DN207725_c2_g1_i1	LYSs	Lysozyme-5	TRINITY_DN207725_c2_g1	5prime_partial	155	2.00E-39	2.40E-39	89.677	LYS_GALME	0.59167	904-548	2-121	3.04E-45	121	Lysozyme	LYS_HYPCU	0.53901	16-154	2-142	2.26E-50	142	99.296	Lysozyme	PF00062.17	C-type lysozyme/alpha-lactalbumin family	2.30E-32
TRINITY_DN208075_c4_g1_i1	LYSs	Lysozyme-6	TRINITY_DN208075_c4_g1	5prime_partial	153	1.20E-33	1.40E-33	86.275	LYS_BOMMO	0.4963	61-456	5-137	9.60E-39	137	Lysozyme	LYS_BOMMO	0.4963	21-152	5-137	3.24E-40	137	97.08	Lysozyme	PF00062.17	C-type lysozyme/alpha-lactalbumin family	4.70E-29
TRINITY_DN210486_c4_g1_i4	LYSs	Lysozyme c-1	TRINITY_DN210486_c4_g1	complete	146	1.40E-42	1.60E-42	93.836	LYSC1_ANOGA	0.48905	461-871	4-139	7.39E-41	140	Lysozyme c-1	LYSC1_ANOGA	0.48905	9-145	4-139	1.19E-43	140	97.143	Lysozyme c-1	PF00062.17	C-type lysozyme/alpha-lactalbumin family	1.10E-34
TRINITY_DN205079_c0_g1_i1	LYSs	Lysozyme P	TRINITY_DN205079_c0_g1	5prime_partial	221	8.00E-44	9.70E-44	61.086	LYSP_DROME	0.38406	143-547	4-133	3.65E-26	141	Lysozyme P	LYSP_DROME	0.38406	48-182	4-133	3.87E-28	141	92.199	Lysozyme P	PF00062.17	C-type lysozyme/alpha-lactalbumin family	9.40E-31
TRINITY_DN211434_c0_g1_i3	LYSs	Lysozyme X	TRINITY_DN211434_c0_g1	complete	137	5.70E-25	6.60E-25	94.161	LYSX_DROME	0.36879	561-175	1-139	8.69E-21	142	Lysozyme X	LYSX_DROME	0.36879	1-129	1-139	5.11E-22	142	97.887	Lysozyme X	PF00062.17	C-type lysozyme/alpha-lactalbumin family	5.40E-20
TRINITY_DN209720_c5_g1_i2	LYSs	Lysozyme-2	TRINITY_DN209720_c5_g1	complete	142	2.90E-41	3.10E-41	94.366	LYSC1_ANOGA	0.48507	205-606	7-139	1.19E-39	140	Lysozyme c-1	LYSC1_ANOGA	0.48507	8-141	7-139	1.39E-41	140	95	Lysozyme c-1	PF00062.17	C-type lysozyme/alpha-lactalbumin family	5.90E-36
TRINITY_DN196538_c0_g1_i1	MLs	Epididymal secretory protein E1-1	TRINITY_DN196538_c0_g1	complete	148	4.50E-18	5.30E-18	95.946	NPC2_PANTR	0.32812	259-642	24-148	2.73E-15	151	Epididymal secretory protein E1	NPC2_BOVIN	0.32192	1-142	1-143	1.31E-17	149	95.973	Epididymal secretory protein E1	PF02221.12	ML domain	2.90E-23
TRINITY_DN202244_c0_g2_i1	MLs	Epididymal secretory protein E1-2	TRINITY_DN202244_c0_g2	5prime_partial	151	1.70E-15	2.20E-15	90.066	NPC2_PANTR	0.34615	67-450	24-148	9.99E-13	151	Epididymal secretory protein E1	NPC2_PANTR	0.34058	15-150	16-148	7.34E-15	151	88.079	Epididymal secretory protein E1	PF02221.12	ML domain	1.40E-23
TRINITY_DN263538_c0_g1_i1	MLs	Epididymal secretory protein E1-3	TRINITY_DN263538_c0_g1	complete	147	3.50E-15	3.60E-15	97.959	NPC2_CANLF	0.30172	425-78	36-148	6.69E-13	149	Epididymal secretory protein E1	NPC2_BOVIN	0.30464	3-146	1-148	1.23E-14	149	99.329	Epididymal secretory protein E1	PF02221.12	ML domain	2.70E-20
TRINITY_DN208537_c10_g1_i4	MLs	MD-2-related lipid-recognition protein	TRINITY_DN208537_c10_g1	complete	160	4.70E-15	5.80E-15	86.875	ML1P_MANSE	0.38732	1924-1508	24-151	1.43E-17	151	MD-2-related lipid-recognition protein {ECO:0000303|PubMed:18343500}	ML1P_MANSE	0.38732	21-159	24-151	5.65E-20	151	84.768	MD-2-related lipid-recognition protein {ECO:0000303|PubMed:18343500}	PF02221.12	ML domain	4.20E-16
TRINITY_DN169438_c1_g1_i3	MLs	Protein NPC2 homolog-1	TRINITY_DN169438_c1_g1	complete	102	6.70E-12	7.50E-12	98.039	NPC2_DROME	0.35246	382-17	26-147	2.55E-24	148	Protein NPC2 homolog	NPC2_DROME	0.37	1-100	48-147	1.66E-22	148	67.568	Protein NPC2 homolog	PF02221.12	ML domain	6.10E-19
TRINITY_DN206261_c0_g1_i2	MLs	Protein NPC2 homolog-2	TRINITY_DN206261_c0_g1	complete	160	1.50E-19	1.80E-19	70	ES16_MANSE	0.33929	440-766	44-144	2.37E-12	145	Ecdysteroid-regulated 16 kDa protein	NPC2_DROME	0.32143	46-157	43-147	3.19E-14	148	70.946	Protein NPC2 homolog	PF02221.12	ML domain	4.80E-23
TRINITY_DN208822_c2_g3_i1	MLs	Protein NPC2 homolog-3	TRINITY_DN208822_c2_g3	complete	161	2.60E-15	2.90E-15	88.199	NPC2_DROME	0.43662	494-919	6-147	1.10E-32	148	Protein NPC2 homolog	NPC2_DROME	0.43662	18-159	6-147	6.97E-42	148	95.946	Protein NPC2 homolog	PF02221.12	ML domain	2.00E-27
TRINITY_DN187224_c1_g2_i1	Myd88_Toll	Myeloid differentiation primary response protein MyD88	TRINITY_DN187224_c1_g2	complete	410	8.90E-110	1.10E-109	67.073	MYD88_SALSA	0.3007	418-1242	5-280	2.43E-32	283	Myeloid differentiation primary response protein MyD88	MYD88_SALSA	0.3007	27-301	5-280	2.13E-33	283	97.527	Myeloid differentiation primary response protein MyD88	PF13676.3	TIR domain	7.70E-11
